Nombre,AI keywords,Resumen generado por la IA,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Entidad
Open Call: Scenes From Real Life,Convocatoria,Escenas de la Vida Real,Italia,https://www.loosenart.com/pages/calls,,Revisar,"February 24, 2025",No,,,,
Home Based Program,"Convocatoria Home Based, Home Based Program, Programa de Residencia en Casa",Home Based,España,https://app.datarte.art/convocatorias/home-based-program-2024,,Revisar,"February 20, 2025",No,,,,
Tartget Prize. Concurso Internacional de Pintura,"Concurso Internacional de Pintura, Premio Internacional de Fotografía, Tartget Prize",Tartget Prize,España,https://www.arteinformado.com/agenda/f/tartget-prize-concurso-internacional-de-pintura-231649,,,"February 15, 2025",Yes,,,,
Tartget Prize International Painting Contest,,Tartget Prize Pintura,España,https://tartgetpaintingprize.com/index.php/rules/,,,"February 15, 2025",No,,,,
Aviário Studio Large Format Residency,,,,https://www.aviariostudio.eu/apply-now,,,"February 6, 2025",No,,,,
Art On Loop Tokyo,exposición de arte,Art On Loop Tky,Japón,https://www.theholyart.com/tokyo-art-on-loop,,,"February 4, 2025",No,,,,
ARTIST RESIDENCY PROGRAM,,,,https://lamaisondebeaumont.com/artistresidency/,,,"February 2, 2025",No,,,,
Pump House 2025-2026 Gallery Season Call to Artist...,"Open Call, convocatoria de artistas, llamado a artistas",Pump House 2025-26 Gallery,EEUU,https://www.thepumphouse.org/applicant-exhibition-requirements/,,,"January 31, 2025",Yes,,,,
Concurso Internacional de Piano Premio Jaén 2025,"Concurso Internacional de Piano, Premio Jaén",Concurso Piano Jaén 2025,España,https://www.recursosculturales.com/concurso-internacional-de-piano-premio-jaen/,,,"January 31, 2025",Yes,,,,
XXII Premio Eurostars Grand Marina de Fotografía,"Arte, Premio Internacional de Fotografía, exposición colectiva",XXII Premio Eurostars Fotografía,España,https://www.arteinformado.com/agenda/f/xxii-premio-eurostars-grand-marina-de-fotografia-230545,,,"January 23, 2025",Yes,,,,
XI Premio Eurostars Madrid Tower de Fotografía 202...,"Arte, Premio Internacional de Fotografía, fotografía",XI Premio Eurostars Fotografía,,https://www.eurostarshotels.com/eurostars-madrid-tower/premio-de-fotografia.html,,,"January 23, 2025",No,,,,
Tokyo Open Art,,Tokyo Open Art,,https://www.theholyart.com/japan-open-art,,,"January 17, 2025",No,,,,
"Becas del DAAD para maestría en Bellas Artes, Diseño o Cine en Alemania","Becas de Maestría, Becas de posgrado, Becas en Alemania","DAAD en Bellas Artes, Diseño, Cine",Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-del-daad-para-maestria-en-1,,,"January 10, 2025",No,,,,
Art Critique Program,,Art Critique,,https://lightspacetime.art/art-critique-submit-here/,,,"January 3, 2025",No,,,,
The Sony World Photography Awards,"Sony World Photography Awards, concurso de fotografía, fotografía",Sony World Photo Awards,,https://www.worldphoto.org/sony-world-photography-awards,,,"January 3, 2025",Yes,,,,
NARS Residency Program: Rolling Admission for Inte...,,NARS Intl. Residency,,https://www.narsfoundation.org/international-residency-program,,,"January 2, 2025",No,,,,
Art History or Cultural Research Residency Program...,"Residencia artística interdisciplinaria, programa de residencia, residencia de artistas",Art Hist o Cult Res,México,https://www.arquetopia.org/art-history-or-cultural-research-residency,,,"January 2, 2025",No,,,,
UNO A UNO - Clínica de obra - individual,,UNO A UNO - Clínica de obra,,https://linktr.ee/laflechadelarte?lt_utm_source=lt_share_link#366184516,,,"January 2, 2025",No,,,,
"EXPANDIR LA PINTURA  -  Investigación, experimenta...",,EXPANDIR PINTURA,,https://linktr.ee/laflechadelarte?lt_utm_source=lt_share_link#366184516,,,"January 2, 2025",No,,,,
EXHIBITING AT THE MATTIE KELLY ARTS CENTER,,Exhibir en Mattie Kelly Arts,,https://mattiekellyartscenter.org/,,,"January 2, 2025",No,,,,
TEMPORARY OUTDOOR PUBLIC ART INSTALLATION,,Instalación Artística Temporal,,https://www.lagunabeachcity.net/government/departments/cultural-arts/calls-for-artists,,,"January 2, 2025",No,,,,
Natural Pigments Instructional Residency Program (...,,,,https://www.arquetopia.org/natural-pigments-residency,,,"January 2, 2025",No,,,,
Peruvian Textiles Instructional Residency Program ...,,,,https://www.arquetopia.org/peruvian-textiles-residency,,,"January 2, 2025",No,,,,
Mexican Textiles Instructional Residency Programs,,Textiles Mex,,https://www.arquetopia.org/mexican-textiles-residencies,,,"January 2, 2025",No,,,,
WALK & TALK_ONE WEEK ONLINE ARTIST RESIDENCY,,WALK & TALK ARTIST RESIDENCY,,https://bonfire-air.com/apply-walk/,,,"January 2, 2025",No,,,,
Gold Leafing & Estofado Instructional Residency Pr...,,,,https://www.arquetopia.org/gold-leafing-residency,,,"January 2, 2025",No,,,,
SOLO EXHIBITION PROPOSALS,,Exhibición individual,,https://www.smackmellon.org/opportunities/solo-exhibition-proposals/,,,"January 2, 2025",No,,,,
Artist Residency,Residencia para artistas,Artist Rsdncy,EEUU,https://www.artslettersandnumbers.com/artist-residency,,,"January 2, 2025",No,,,,
Natural Ink Silkscreen Instructional Residency Pro...,,Nat Ink Silkscreen Inst.,,https://www.arquetopia.org/natural-ink-silkscreen-residency,,,"January 2, 2025",No,,,,
Residencias Litografía Centro de Edición de Buenos...,,Litografía Centro Edición,,chrome-error://chromewebdata/,,,"January 2, 2025",No,,,,
Critic’s Spotlight: Artists Opportunity,,Critic's Spotlight: Artists,,https://boomergallery.net/critics-spotlight,,,"January 2, 2025",No,,,,
Organic Painting Instructional Residency Program,,Org. Paint. Instr.,,https://www.arquetopia.org/organic-painting-residency,,,"January 2, 2025",No,,,,
"Cista Arts: Open Call for ""Platform for Emerging A...",,Cista Arts: Plataforma Emergente,,https://www.cistaarts.com/platformforemergingarts,,,"January 1, 2025",No,,,,
Cista Arts: Artist Room Residency,,Cista Arts: Art Room,,https://www.cistaarts.com/artist-room-residency,,,"January 1, 2025",No,,,,
Solo Virtual Exhibitions on Artistic Hub,"Arte Virtual, Exhibiciones Virtuales, Plataforma de Arte",Exhibiciones Virtuales,Virtual,https://www.artistichub.online/en/soloexhibition,,,"January 1, 2025",Yes,,,,
Pre-Columbian Ceramics Instructional Residency Pro...,,Cerámicas Precolombinas,,https://www.arquetopia.org/pre-columbian-ceramics-residency,,,"January 1, 2025",No,,,,
"Art, Design or Photography Residency Program (Méxi...",,"Art, Diseño o Fotografía",,https://www.arquetopia.org/art-design-or-photography-residency,,,"January 1, 2025",No,,,,
Insights of an Eco Artist Interviews,,Eco Artist Interviews,,https://www.insightsofayoungecologicalartist.com/copy-of-about,,,"January 1, 2025",No,,,,
The Awesome Foundation,,Awesome Fndtn,,https://www.awesomefoundation.org/en/about_us,,,"January 1, 2025",No,,,,
OPEN CALL 2024,Convocatoria Abierta,OPEN CALL 2024,,https://www.gottliebfoundation.org/emergency-grant,,,"January 1, 2025",No,,,,
Premio AICA de la Crítica 2024,"Convocatoria, Premio Internacional, Premio Literario",Premio AICA Crítica 2024,España,https://www.arteinformado.com/agenda/f/premio-aica-de-la-critica-2024-232603,,Revisar,"December 31, 2024",No,,,,
II Concurso de Arte Contemporáneo Creadoras 2024-2025 - Transformaciones: Humanidad,"Concurso, Premio Internacional de Fotografía, arte contemporáneo",Concurso Arte Creadoras 2024-25,España,https://www.arteinformado.com/agenda/f/ii-concurso-de-arte-contemporaneo-creadoras-2024-2025-transformaciones-humanidad-231867,,,"December 31, 2024",Yes,,,,
EXPOPeregrina2025 - Concurso de carteles,"arte contemporáneo, concurso de carteles, exposición de arte",EXPOPeregrina2025 - Carteles,España,https://www.arteinformado.com/agenda/f/expoperegrina2025-concurso-de-carteles-231626,,Revisar,"December 31, 2024",No,,,,
The Adolph & Esther Gottlieb Emergency Grant,,Gottlieb Emerg. Grant,,https://www.gottliebfoundation.org/emergency-grant,,,"December 31, 2024",No,,,,
18th Street Local Artist Residency,,18th St. Local Artist,,https://18thstreet.org/local-studio-artist/#1459807216539-455984e5-50aa,,,"December 31, 2024",No,,,,
Convocatoria Abierta: Premio Crítica Joven AICA 20...,"Convocatoria, Premio Crítica Joven AICA, Premio Internacional",Premio Crítica Joven AICA,Costa Rica,https://www.aicacostarica.org/2024/09/abierta-convocatoria-premio-critica.html,,,"December 31, 2024",Yes,,,,
APAPACHO | Residencia Artística en CDMX,residencia artística,Apapacho Artística CDMX,México,https://www.recursosculturales.com/apapacho-residencia-artistica-en-cdmx/,,,"December 31, 2024",Yes,,,,
Convocatoria exposición Colectiva para el BDSM Film Festival de Barcelona,"BDSM Film Festival, Barcelona, Convocatoria, exposición colectiva",Convocatoria BDSM FF Barcelona,España,https://www.recursosculturales.com/convocatoria-exposicion-bdsm-film-festival/,,,"December 31, 2024",Yes,,,,
Becas de la Fundación Pollock-Krasner para artistas visuales en Estados Unidos,"Artistas, Estados Unidos de América, Fundación Pollock-Krasner",Fundación Pollock-Krasner en EE.UU.,Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/pollock-krasner-usa,Fundación Pollock-Krasner,Artistas,"December 31, 2024",Yes,"38.90719, -77.03739.",38.90719,-77.03739.,
"Residencia en Madrid: ""Creadora Migrante""",Residencia para artistas,Creadora Migrante,España,https://app.datarte.art/convocatorias/espacio-amazonas-creadora-migrante,,,"December 30, 2024",Yes,,,,
"Edutainment Productions Inc.: ""Installing our Futu...",,Edutainment Prod. Inc.: Instal.,,https://www.openspaceartspwc.com/submit-a-portfolio,,,"December 29, 2024",No,,,,
LensCulture Art Photography Awards 2024,,LensCulture Art Awards 2024,,https://www.lensculture.com/photo-competitions/art-photography-awards/2024,,,"December 22, 2024",No,,,,
Convocatoria Arte Intruso 2025,Convocatoria Arte Intruso 2025,Arte Intruso 2025,España,https://www.arteinformado.com/agenda/f/convocatoria-arte-intruso-2025-231948,,,"December 20, 2024",Yes,,,,
I Premio AEDAS Homes de Pintura de la Ciudad de Va...,,Premio AEDAS Homes Pintura,,https://www.aedashomes.com/realismovallisoletano,,,"December 20, 2024",No,,,,
Candidaturas Abertas - IndieLisboa 2025! — IndieLisboa,Festival de Cine,Candidaturas Abertas - IndieLisboa,Portugal,https://indielisboa.com/2024/07/16/call-for-entries-2025/,,,"December 20, 2024",Yes,,,,
Next-Gen Opera (Mortier Award),Opera contemporánea,Next-Gen Opera,,https://www.mortierawards.eu/english-summary/mortier-next-generation-award/,,Destacar,"December 15, 2024",Yes,,,,
I Premio de Dramaturgia Alfonso Jiménez Romero,"Dramaturgos, Premio Literario, recursos culturales",Premio Dramaturgia Alfonso J.,España,https://www.recursosculturales.com/premio-de-dramaturgia-alfonso-jimenez-romero/,,,"December 15, 2024",Yes,,,,
Sony Future Filmmaker Awards ofrece oportunidades a creadores y cineastas,Cine,Sony Future Filmmkr Awards,EEUU,https://www.recursosculturales.com/sony-future-filmmaker-awards/,,,"December 12, 2024",Yes,,,,
Art On Loop: Toronto,,,,https://www.theholyart.com/toronto-aol,,,"December 12, 2024",No,,,,
6ª Edición Premio Silos de Fotografía,"Arte, Premio Internacional de Fotografía, exposición colectiva",Premio Silos Fotografía,España,https://www.arteinformado.com/agenda/f/6-edicion-premio-silos-de-fotografia-232045,,,"December 10, 2024",No,,,,
Photostory contest: Walk of Water - Water Towers,"Walk of Water, concurso de fotografía, concurso de fotostory",Photostory: Walk of Water,Múltiples países,https://onewater.blue/contest/walk-of-water-water-towers-07c13e86ca3b#submit-part,,,"December 9, 2024",No,,,,
Open Call: ETA - Emerging Texas Artists,,ETA - Artistas Emergentes TX,,https://eta-emergingtexasartists25.artcall.org/,,,"December 9, 2024",No,,,,
EXPOPeregrina2025 - Convocatoria de obras,"EXPOPeregrina, arte contemporáneo, convocatoria de obras",EXPOPeregrina2025,España,https://www.arteinformado.com/agenda/f/expoperegrina2025-convocatoria-de-obras-231625,,,"December 8, 2024",No,,,,
Call For Entries #31,"Open Call, convocatoria internacional, llamado a artistas",Call for Entries #31,España,https://www.arteinformado.com/agenda/f/call-for-entries-31-233494,,,"December 8, 2024",Yes,,,,
VI Concurso Internacional de Postales Navideñas Full Color Xmas 2024,Concurso Postales Xmas 2024,VI Concurso Postales Xmas 2024,Austria,https://www.arteinformado.com/agenda/f/vi-concurso-internacional-de-postales-navidenas-full-color-xmas-2024-233566,,,"December 5, 2024",No,,,,
VI Concurso Internacional de Postales Navideñas: “Full Color XMAS”,"Concurso Postales Navideñas, Convocatoria, Premio Internacional",Concurso Postales Navideñas,Múltiples países,https://www.recursosculturales.com/concurso-postales-navidenas/,,,"December 5, 2024",No,,,,
Shelter 2025 National Open Exhibition,,Shelter 2025 Nat. Open Exhib.,,https://outsidein.org.uk/exhibition/shelter/,,,"December 3, 2024",No,,,,
Becas especiales de la Fundación Bogliasco para artistas,"Becas para artistas, Fundación Bogliasco, oportunidad para artistas",Fond. Bogliasco art.,Italia,https://www.recursosculturales.com/premios-especiales-fundacion-bogliasco/,,,"December 2, 2024",Yes,,,,
RESIDENCY,,Jan Van Eyck,,https://www.janvaneyck.nl/residency/about,,,"December 2, 2024",No,,,,
"XXXV Memorial María Luisa. Certamen Internacional de Fotografía y Video de Montaña, Naturaleza y Aventura",Premio Internacional de Fotografía,Memorial María Luisa 2024,España,https://www.arteinformado.com/agenda/f/xxxv-memorial-maria-luisa-certamen-internacional-de-fotografia-y-video-de-montana-naturaleza-y-aventura-233115,,,"December 1, 2024",Yes,,,,
Convocatoria tema el paisaje,"Convocatoria paisaje, Convocatorias, Premio Internacional",Convocatoria paisaje,España,https://www.arteinformado.com/agenda/f/convocatoria-tema-el-paisaje-232515,,,"December 1, 2024",Yes,,,,
Open Call: Great American Nudes,,Great Am Nudes,,https://www.slowart.com/prospectus/nude.htm,,,"December 1, 2024",No,,,,
Your Way Online Solo Exhibition,"arte contemporáneo, convocatoria de exposición, exposición en línea",Your Way Online Solo Exh.,Virtual,https://tenmoirgallery.com/solo-exhibition-open-call/,,,"December 1, 2024",Yes,,,,
"Open Call: ""The Important Days"" (Exhibition is Feb...","Open Call, convocatoria de exposición, exposición","""Importantes Días""",Canadá,https://www.outsidersandothers.com/news,,,"December 1, 2024",No,,,,
Fusion Art: 9th Annual Colorful Abstractsion Art E...,exposición colectiva,Fusion Art: Colorful Abstracts,,https://www.fusionartps.com/everything-abstract-2024-art-competition/,,,"December 1, 2024",Yes,,,,
16th Annual International Drawing Discourse Exhibi...,"Discurso Internacional de Dibujo, Exposición Internacional de Dibujo, arte contemporáneo",16th Annual Drawing Discourse,,https://aah.unca.edu/exhibitions/drawing-discourse/16th-annual,,,"December 1, 2024",Yes,,,,
Anthology Photography Competition 2024,"Premio Internacional de Fotografía, concurso de fotografía, exposición colectiva",Anthology Photo Comp 2024,,https://anthology-magazine.com/awards/photo-competition/,,,"December 1, 2024",No,,,,
11ª convocatoria para exposiciones individuales o colectivas en línea,"Convocatoria, exposición colectiva",Convocatoria exposiciones,España,https://www.arteinformado.com/agenda/f/11-convocatoria-para-exposiciones-individuales-o-colectivas-en-linea-233214,,,"November 30, 2024",Yes,,,,
Becas 2024 para Jóvenes Artistas Canarios,,Jóvenes Artistas Canarios 2024,,https://www.fundacionlacajadecanarias.es/se-abre-la-convocatoria-de-las-becas-jovenes-artistas-canarios-2024/,,,"November 30, 2024",No,,,,
Omi Art Gallery: “Magic Moment” Art Contest and Ex...,,Magic Moment Art Contest,,https://www.omiartgallery.com/magic-moment-contests-open-call,,,"November 30, 2024",No,,,,
Ten Moir Gallery: Landscape in Focus Virtual Exhib...,,Ten Moir Gallery: Landscape,,https://tenmoirgallery.com/landscape-in-focus-open-call/,,,"November 30, 2024",No,,,,
MetaU Art International Competition 2024,"Competencia de Arte MetaU, Concurso, Premio Internacional",MetaU Art Comp 2024,,https://www.metauart.com/metau-art-competition-2024,,,"November 30, 2024",Yes,,,,
DOC.Coimbra | International Documentary Festival,"Convocatoria de Documentales, Festival Internacional de Cine, Festival de Documentales",DOC.Coimbra Festival Internacional,Portugal,https://www.doccoimbra.com/,,,"November 30, 2024",Yes,,,,
Culture Moves Europe ofrece ayudas para movilidad individual,ayudas para movilidad individual,Cultura Mueve Europa,Múltiples países,https://www.recursosculturales.com/culture-moves-europe/,,,"November 30, 2024",Yes,,,,
Convocatoria para publicar un artista de Datarte en Arttyco,,Artista Datarte en Arttyco,,https://app.datarte.art/convocatorias/publicacion-en-arttyco-2024,,,"November 30, 2024",No,,,,
Becas del DAAD para maestría en Artes Escénicas en Alemania,Maestría en Artes Escénicas,DAAD Artes Escénicas,Alemania,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/becas-del-daad-para-maestria-en-2,,,"November 30, 2024",Yes,,,,
"Exposición en Arequipa, Perú",Artes Visuales,Exposición Arequipa 2024,Perú,https://app.datarte.art/convocatorias/exposicion-peru-2024,,,"November 30, 2024",Yes,,,,
Víznarte 2024-25,"Premio Internacional, Residencia para artistas, oportunidad para artistas",Víznarte 2024-25,España,https://www.arteinformado.com/agenda/f/viznarte-2024-25-232630,,,"November 29, 2024",Yes,,,,
Convocatòria Pankhurst 2024,Convocatoria Pankhurst 2024,Convocatòria Pankhurst 2024,España,https://www.arteinformado.com/agenda/f/convocatria-pankhurst-2024-233579,,,"November 29, 2024",Yes,,,,
III Edición del Concurso de Arte “Viznarte” 2024-2...,,Concurso de Arte “Viznarte”,,https://ayuntamientodeviznar.es/,,,"November 29, 2024",No,,,,
Proyecto escultórico en Cali,"Cali 2024, proyecto escultórico",Escultura Cali 2024,Colombia,https://app.datarte.art/convocatorias/convocatorias-escultura-artistas-cali-2024,,,"November 29, 2024",Yes,,,,
"Green Olive Arts Residency in Tetouan, Morocco","oportunidad para artistas, programa de residencia, residencia de artistas",Green Olive Arts Tetouan,Marruecos,https://greenolivearts.com/art-residency/art-residency-general/,,Destacar,"November 29, 2024",No,,,,
The Halloran Contemporary Art Prize,"Certamen Nacional, Premio Internacional de Fotografía, Premio de arte digital",Halloran Art Prize,,https://jervisbaymaritimemuseum.asn.au/the-halloran-contemporary-art-prize/,,,"November 29, 2024",No,,,,
Convocatoria internacional de Exposición para Ilustradores en Argi Arte,"Arte, Convocatoria, exposición colectiva",Exposición Ilustradores Argi Arte,España,https://www.arteinformado.com/agenda/f/convocatoria-internacional-de-exposicion-para-ilustradores-en-argi-arte-232833,,,"November 28, 2024",No,,,,
Convocatoria internacional de Exposición para Ilus...,,Exposición Internacional,,https://argiarte.com/,,,"November 28, 2024",No,,,,
14th Annual “Nature” Online Art Competition,"arte de la naturaleza, competencia de arte, concurso de arte en línea",14th Nature Art Comp,Virtual,https://lightspacetime.art/14th-nature-online-art-competition-2024/,,,"November 28, 2024",Yes,,,,
VIII Maratón Fotográfico Ciudad de Cuenca,"Concurso Fotográfico, Maratón Fotográfico, fotografía",VIII Maratón Fotográfico Cuenca,España,https://www.arteinformado.com/agenda/f/viii-maraton-fotografico-ciudad-de-cuenca-233499,,,"November 27, 2024",Yes,,,,
VII Puchi Award,VII Puchi Award,,España,https://www.arteinformado.com/agenda/f/vii-puchi-award-233177,,,"November 27, 2024",No,,,,
Puchi Award convoca proyectos de cómic y álbum ilustrado,"Convocatoria, Premio Internacional, recursos culturales",Premio Puchi: cómic e ilustración,España,https://www.recursosculturales.com/puchi-award/,,,"November 27, 2024",Yes,,,,
XVI CERTAMEN INTERNACIONAL DE FOTOGRAFIA ASISAFOTO...,,XVI Certamen Internacional Fotografía,,https://asisafoto.asisa.es/,,,"November 26, 2024",No,,,,
I edición del Concurso Fotográfico “Un paraíso ilimitado”,"Concurso Fotográfico, concurso de fotografía, fotografía",Concurso Fotográfico “Un paraíso”,España,https://www.arteinformado.com/agenda/f/i-edicion-del-concurso-fotografico-un-paraiso-ilimitado-233646,,,"November 25, 2024",Yes,,,,
Convocatoria para la Beca Joana Biarnés para Jóvenes Fotoperiodistas,"Beca de investigación, Convocatoria, Premio Internacional de Fotografía",Joana Biarnés Fotoperiodistas,España,https://www.recursosculturales.com/convocatoria-beca-joana-biarnes/,,,"November 25, 2024",Yes,,,,
1er Premio de Fotografía Cárnicas La Guzmana. León,"Premio de Fotografía, concurso de fotografía, fotografía",1er Premio Fotografía Cárnicas,España,https://www.arteinformado.com/agenda/f/1er-premio-de-fotografia-carnicas-la-guzmana-leon-233649,,,"November 24, 2024",Yes,,,,
EURODOC25 - annual training program | Eurodoc,"capacitación, formación continua, programa de formación",EURODOC25 - entrenam. an.,Múltiples países,https://project-submissions.festicine.fr/en/annual-training,,,"November 24, 2024",Yes,,,,
Open Call For Exhibition Proposals at Well Well Pr...,"arte contemporáneo, convocatoria de propuestas, exposición",Exhibición Propuestas,,https://www.wellwellprojects.com/open-call-for-proposals,,,"November 23, 2024",No,,,,
Crocker Kingsley: Biennial National Art Competitio...,"Concurso, Premio Internacional, exposición colectiva",Crocker Kingsley Art Comp,,https://www.bluelinearts.org/crocker-kingsley-2024,,,"November 23, 2024",Yes,,,,
XXIX BIENAL DE PINTURA EUSEBIO SEMPERE- 2024,"Bienal Mediacity Seúl, Premio Internacional, exposición colectiva",XXIX Bienal E. Sempere 2024,,https://www.onil.es/es/noticias/3386-bienal-de-eusebio-sempere-xxix-edicion,,,"November 20, 2024",Yes,,,,
"Art Journal Call For Submissions: ""Trauma and the ...","Art Journal, Submissions","""Trauma & the ...""",EEUU,https://www.tendrilsjournal.com/call-for-submissions,,,"November 17, 2024",Yes,,,,
"2025 ""Colors of Seduction Erotic Art Exhibit"" in P...",Exposición de Arte Erótico,Colores de Seducción 2025,,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSdqHvqQkhTpccYCeHShV5QdtBSXNwJUETVA6bzRnGTMFs-6Aw%2Fviewform&followup=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSdqHvqQkhTpccYCeHShV5QdtBSXNwJUETVA6bzRnGTMFs-6Aw%2Fviewform&ifkv=ARpgrqd7QO6sJFO0PrAoxuvOd00_-mNTAV8lCObUed1RfkCpN1f7Kt2MGjhJG6S9e2-QdHqa0j7Yww&ltmpl=forms&osid=1&passive=1209600&service=wise&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1091441593%3A1729205541907447,,,"November 16, 2024",No,,,,
"Open call artists!!! Convocatoria abierta para participar en la edición 2024 de la ""Collective Contemporary - Multidisciplinary""","Convocatoria, Open Call, Residencias Artísticas",Convocatoria Collective 2024,España,https://www.arteinformado.com/agenda/f/open-call-artists-convocatoria-abierta-para-participar-en-la-edicion-2024-de-la-collective-contemporary-multidisciplinary-232592,,,"November 15, 2024",Yes,,,,
The Nature Photography Contest 2024,"Concurso Fotografía Naturaleza, Premio Internacional de Fotografía, exposición colectiva",Conc. Fotografía Naturaleza 2024,España,https://www.arteinformado.com/agenda/f/the-nature-photography-contest-2024-231812,,,"November 15, 2024",No,,,,
Grup d'Acció Creativa GAC,"Grup d'Acció Creativa GAC, Premio Internacional de Fotografía, Residencias Artísticas",Grup d'Acció Creativa GAC,España,https://www.arteinformado.com/agenda/f/grup-daccio-creativa-gac-233490,,,"November 15, 2024",Yes,,,,
Exhibition Open Call: Blurred Realities,"Arte, Exhibición, Open Call",Exhibición: Realidades Borrosas,EEUU,https://museum.msu.edu/explore/colab-studio/colab-studio-open-call/,,,"November 15, 2024",Yes,,,,
THE NATURE PHOTOGRAPHY CONTEST,"Concurso Fotografía Naturaleza, Premio Internacional de Fotografía, exposición colectiva",Conc. Fotografía Naturaleza,,https://thenaturephotocontest.com/,,,"November 15, 2024",No,,,,
"International Artist Online Magazine Open Call: ""I...","Open Call, concurso de arte, convocatoria internacional",International Artist Open Call,,https://www.internationalartist.com/competitions,,,"November 13, 2024",Yes,,,,
ZI · Residencia: Quién puede vivir en esta casa?,"oportunidad para artistas, residencia, residencia artística",ZI · Quién puede vivir aquí?,,https://zonaimaginaria.com.ar/web/en/home-english/,,,"November 13, 2024",Yes,,,,
20th Edition of The Tapirulan Illustrators Contest...,"20ª edición, Tapirulan, concurso de ilustradores",Tapirulan Illustrators Contest,Italia,https://illustratorscontest.tapirulan.it/en/,,,"November 12, 2024",Yes,,,,
RENASCENCE II – New and Emerging Art,"Arte Emergente, Nuevas Artes, exposición de arte",RENASCENCE II – Art Emergente,,https://www.slowart.com/prospectus/rena.htm,,,"November 12, 2024",Yes,,,,
Programa Federal de Apoyo a Editoriales Independientes,recursos culturales,Fderal Ed. Ind.,Argentina,https://www.recursosculturales.com/programa-federal-editoriales-independientes/,,,"November 11, 2024",Yes,,,,
"Residencia en Arequipa, Perú",Becas de residencia,"Arequipa, Perú",Perú,https://app.datarte.art/convocatorias/residencia-peru,,,"November 11, 2024",Yes,,,,
Programa para artistas de 16 a 23 años,"oportunidad para artistas, programa de residencia, residencia de artistas",Artistas 16-23 años,España,https://app.datarte.art/convocatorias/apoyo-artistas-barcelona-2024,,,"November 10, 2024",No,,,,
Convocatoria al Premio de No Ficción Libros del Asteroide,Premio Literario,Premio No Ficción Asteroide,España,https://www.recursosculturales.com/premio-libros-del-asteroide/,,,"November 10, 2024",No,,,,
Selección de obra para la 2° exposición colectiva internacional en línea,"Convocatoria, Premio Internacional de Fotografía, exposición colectiva",Expo colectiva internacional,México,https://app.datarte.art/convocatorias/expo-mex-yilaob-2024,,,"November 9, 2024",Yes,,,,
