Nombre,Disciplina
FluxusMuseum Prize for Experimental Video 2025,"Vídeo, performance, cine."
"Residencia Artística bEam en Tesalónica, Grecia","Arte visual, música, danza."
"Residencia en California, EEUU","Visuales, Arte Público"
Fest de arte en Chile,"Pintura, Escultura, Dibujo"
Beca de residencia en Ecuador,Multidisciplinar
Buscamos artistas emergentes para publicación editorial,"danza, teatro, música"
Premio Datarte 2024,Artes visuales
Open Call for Al-Tiba9 Artist Directory 2024,"Arte digital, fotografía, pintura."
Prince Claus Seed Awards for Emerging Artists and Cultural Practitioners 2025,"Visuales, performance"
"Tiny Spaces: Slow Travel Residency for Process-led and Site-specific Creation (Greece, Finland, Germany)","Visuales, performance, música"
"Fundación Cuerpo Sur: Avanzada Sur Programme for Young Artists from Latin America (Chile, Online) ","Escénicas, visuales, performance"
Folger Shakespeare Library: Artistic Research Fellowships 2025–2026 (USA/Online),"Artes, investigación"
"Island Connect: Residency Programme for Performing Artists 2024–2026 (Denmark, Croatia, Ireland, Spain, France, Italy) ","Escénicas, teatro, danza"
Musée du quai Branly – Jacques Chirac: Sound Art Residency 2025 (France),Arte Sonoro
Aejlies/Riksteatern: Residency for Indigenous Choreography and Movement Artists (Sweden),"Coreografía, movimiento, danza"
Art in Lov: Residency and Exhibition on the Theme of Plastic (Finland),"Visuales, instalación, escultura"
Höchster Porzellan Manufaktur: Residency Programme 3.0 (Germany),"Arte, Diseño, Cerámica."
EU Dance Hack: Bucharest Dance Hack 2025 (Romania),"Danza, tecnología, arte."
"STARHAUS: Arts and Technology Residencies (Norway, Romania)","Artes, Diseño"
"Emmanuel College: Artist Residencies in Ceramics, Photography, Printmaking and Social Practice 2025 (USA)","Cerámica, fotografía, grabado"
Diriyah Art Futures: Mazra’ah Media Arts Residency 2025 for Artists and Scholars (Saudi Arabia),"Multimedia, Creación"
Robert Rauschenberg Foundation: Archives Research Residency 2025 (USA),"Arte, conservación, filantropía."
CULTURHUB: Virtual Art House Online Residency and Exhibition (Online),"Pintura, Escultura, Literatura."
Bühnen Bern Ballet: Tanzplattform Bern Competition for Choreographers 2025 (Switzerland),"Danza, coreografía, teatro"
Preserving Legacies: Cohort Programme 2025–2027 (Online),"Artes visuales, música, diseño."
Max Planck Institute for Empirical Aesthetics: INHABIT Artist in Residence 2025–2026 (Germany),"Música, Investigación, Artes"
Sixi Museum: Sixi International Artist-In-Residence 2025 (China),"Arte, Escultura, Pintura"
Sony World Photography Awards 2025 (United Kingdom),Fotografía
BIRCA: Eco Matter Residency for International Performing Artists 2025 (Denmark),"Escénicas, performance, danza"
Harvard University: Mittal Institute’s Visiting Artist Fellowship for South Asian Visual Artists (USA),"Visuales, plásticas, artes visuales."
G. & A. Mamidakis Foundation Art Prize 2025 (Greece),"Escultura, instalaciones de arte, arte ambiental, arte ecológico, arte de sonido, arte mixta, arte de materiales naturales."
"Montresso Art Foundation: Jardin Rouge Artist Residency for Visual Artists 2025/2026 (Morocco) ","Visuales, escultura, fotografía"
"Keychange Talent Development Programme for Women and Gender Minorities 2025 (Estonia, Germany, Online)","Música, innovación"
Moving Station: Festival of New Theatre and Performance in Public Space 2025 (Czech Republic),"Artes escénicas, música, artes audiovisuales"
Hungry Eyes Festival: Call for Short Films and Installation Art 2025 (Germany),"Cine, instalaciones"
Linked by Light 2024 International Art Competition...,"Visual, multidisciplinary, transdisciplinary, mixed-media, interdisciplinary."
Open Call: Residencia Palazzo Monti en Italia,"Visuales, escénicas, pensamiento."
Hambidge Residencies: 2025 Summer Session,"Visuales, escénicas, culinarias"
Shining a Light International Photography Contest,"Pintura, Escultura, Arquitectura."
Monson Arts Spring Residencies 2025,"Visuales, escritura, música"
The Adelaide Perry Prize for Drawing 2025,Dibujo
Open Call: The Elephant Trust Grant,Visuales
Al-Tiba9 Online Platform for Artists’ Permanent In...,"Arte digital, fotografía, pintura."
"Call For Entry: ""Monochromatic"" by TCG","Fotografía, visuales, Medios"
Open Call: Queer Family Archive,"Fotografía, educación, escritura."
Open Call: Exhibition 2024 at Small House Gallery,"Pintura, escultura, instalación."
Blue Koi Gallery: Primary Colors Fine Art Competit...,"Arte, Cultura, Creatividad"
14th Annual “All Women” Online Art Competition,"Pintura, dibujo, fotografía, arte mixto/multidisciplinario, escultura, artesanía/tradición."
2024 Foundwork Artist Prize: International Open Ca...,"Arte, Medios mixtos, Performance."
The Golden Shot International Photography Awards 2...,Fotografía
Convocatoria de Arte para exponer en Madrid: “Natu...,"Pintura, escultura, arquitectura."
International Call for Art: Divide Magazine Issue ...,"Pintura, escultura, fotografía"
Retro Tomorrow by Arts Center Gallery,"Pintura, Fotografía, Escultura."
Open Call: Ucross Foundation Residency Fall 2025,"Visuales, literatura, música"
PHODAR Biennial Series Awards 2025,Fotografía
Residencia artística Cromática Marciana,"Pintura, escultura, literatura."
Open Call: Found and Discovered,"Visuales, Video"
Open Call For Kunstraum's Exhibition Program Sprin...,"Pintura, curaduría, literatura."
Royal Society of British Artists Open Call,"Pintura, escultura, grabado"
Convocatoria Internacional: Beca de Residencia de ...,"Visuales, curaduría, gestión"
7th Water International Juried Art Competition,"Pintura, Escultura, Fotografía"
"Open Call: ""Parallel Voices 2025"" Portfolio Contes...",Fotografía
Call For Artists: Art Newport / March 2025,"Pintura, escultura, fotografía."
"La Cocina de La Casa""Convocatoria a proyectos co...","Cine, literatura, escénicas"
Art that Matters to the Planet: Wild America,"Pintura, Fotografía, Video"
Open Call for Solo Exhibition by Tiger Strikes Ast...,"Pintura, escultura, fotografía"
Open Call for Curators Biennale 2026,Curaduría
SPAO’s Artist Residency,"Fotografía, arte visual, videoarte."
Exhibition Opportunity at Public Sculpture Park,Escultura
Artistic Production Grant: Spring 2025 Award Cycle,"Pintura, escultura, arquitectura"
Open: 2025 Aperture Portfolio Prize,Fotografía
Nawat Fes Art Residencies for Oct 2025-July 2026,"pintura, escultura, música"
Art Fluent: “Into the Light” Virtual Group Exhibit...,"Pintura, fotografía, escultura"
Open Call for Artists Specialising in Realism,Pintura
Microcosm: Upstream Gallery Small Works 2025,"Dibujo, pintura, escultura"
Call For Art Open Now: First Look 2025 at Panoptic...,"Photography, Visual Arts"
Convocatoria de propuestas expositivas para el Fes...,"Pintura, escultura, literatura."
"8th Annual Juried Exhibition ""New Horizons: Landsc...","Pintura, dibujo, fotografía."
Jentel Artist Residency Program Summer/Fall 2025,"Visuales, escritura, música"
"The Boynes Monthly Art Award ""Culture & Heritage""","Pintura, Fotografía, Escultura"
The Grange Projects 2025 In Residence Programme,"Visuales, literatura, cómics"
The Adachi Contemporary UKIYOE Award 2024,"Dibujo, grabado, arte tradicional."
Call For Artists: Exhibition with Gallery Represen...,"Pintura, Escultura, Arquitectura"
Open Call: Springboard Studio programme,"Visuales, Literatura, Escénicas"
International Human Rights Art Movement: IHRAM Pub...,"Teatro, danza, música."
The Mudhouse Artist Residency: The Full Fellowship...,"Visual, escritura, música"
2025 Luminarts Visual Arts Fellowship,Música
9th Figurative International Juried Art Competitio...,"Pintura, Fotografía, Escultura"
Prisma Artist in Residence Open Call 2024,"Arte Plástica, Música, Literatura."
Tour de Force Foundation: Grants for Artists,"Pintura, escultura, grabado."
2025 New Work,"Pintura, Escultura, Diseño gráfico"
Jy Originals Scholarship For Creatives 2025,"Arte visual, muralismo, creatividad."
Discovery Expeditions Grants (Pre-Applications),"Cine, Educación, Ciencias"
Adobe Creative Residency Community Fund,"Ilustración, diseño gráfico, visuales"
Sixi International Artist-In-Residence 2025,"Pintura, escultura, fotografía."
Public Art Sculpture Exhibition: Unleashing The Wolf,"Escultura, Instalación"
Bica Microgrant,"Visuales, exhibiciones, performances."
AiR Sandnes Artist Residency 2025 (Norway),Visuales
OpenArt: Public Art 2026 Biennial (Sweden),"Arte digital, pintura, ilustración"
A4 International Residency Programme 2025–2026 (China),Multidisciplinar
Open Call: Solitary Retreat in the Nevada Desert b...,"Música, Multidisciplinar, Visuales"
Culterim | Independent Class (Fine Arts),"Arte Sonoro, Mutidisciplinar"
SURREALISMO TROPICAL,Visuales
Avanzada Sur 2025,"Performance, Video"
Convocatoria Arte de Pequeños Formatos en Galería ...,Visuales
VisArts Emerging Curator Program 2025,Curaduría
Clínica Cazadores 2025,"Escénicas, Instalación"
Convocatoria Abierta Programación _lado b 2025,"Performance, Escénicas, Danza"
Satyrykon 2025: The Lesser Of Two Evils,Visuales
Moving Station: 2025 Nastevřeno Festival Of New Performance,"Danza, Performance"
2026-27 Solo Exhibition Series,Multidisciplinar
Denbo Fellowship Spring/Summer 2025,"Diseño, Arte Sonoro, Visuales"
Artistic Director Of Sea Art Festival 2025,"Curaduría, Investigación"
Bridging Balkan Borders – Songwriting Camps,Música
Marehalm Art Prize,"Diseño, Textiles, Visuales"
European Media Art Festival 2025,Multimedia
"'Faigh Amach (Discover)', International Exhibition",Visuales
Mares X Ruins 2025,"Danza, Multidisciplinar"
Open Call: Serres Séparées,"Diseño, Visuales"
"Ayudas a la creación, investigación y producción de proyectos artísticos en residencia Tabacalera","Visuale, Multidisciplinar"
Matsu Biennial 2025 Call for International Artists (Taiwan),"Multidisciplinar, visuales, diseño"
Edinburgh Futures Institute: Visiting Fellowship Programme 2025/2026 (UK),Investigación
British Council: Research Job on Cross-arts Gender Analysis (Online),Investigación
"British Council: Research Job in Arts, Peacebuilding, Conflict and Fragile Contexts (Online)",Investigación
