Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,AI keywords,Publicar,Entidad,Obtener Disciplinas,Obtener Base URL,Base URL,Categoría,Disciplina
XII Biennal Internacional d'Ex-libris Contratalla,"Convocatoria ""XII Biennal Internacional d'Ex-libris Contratalla"" en España",Revisar,https://www.arteinformado.com/agenda/f/xii-biennal-internacional-dex-libris-contratalla-235308,España,"September 10, 2025",,No,Contratalla,,,,Convocatoria,
"Open Call: ""Plastic Visions"" by LoosenArt","Convocatoria ""Plastic Visions"" en Italia",Revisar,https://www.loosenart.com/pages/calls,Italia,"August 7, 2025",,No,LoosenArt,,,,Convocatoria,
Open Call: Street Art Residency program,"Residencia ""Obtener Disciplina"" en Austria",,http://soonartstudio.com/#artistinresidency,Austria,"August 2, 2025","oportunidad para artistas, programa de residencia, residencia para artistas",Yes,Soon Art Studio,,,http://soonartstudio.com/#artistinresidency,Residencia,"Multidisciplinar, Visuales"
Arte Laguna Prize 20,"Convocatoria ""Arte Laguna Prize"" en",Revisar,https://www.arteinformado.com/agenda/f/arte-laguna-prize-20-235724,,"July 31, 2025",,No,Arte Laguna Prize,,,,Premio,
Open Call: Chromatic Photo Awards 2025,"Convocatoria ""Chromatic Photo Awards"" en",Revisar,https://chromaticawards.com/,,"July 21, 2025",,No,Chromatic Photo Awards,,,,Premio,
Open Call: Artist Grant – July 2025,"Convocatoria ""Artist Grant"" en España",Revisar,https://artistgrant.org/application-information,,"July 16, 2025",,No,Artist Grant,,,,Convocatoria,
Residencia en Madrid para Artistas Visuales,"Residencia ""Espacio Amazonas"" en España",Revisar,https://app.datarte.art/convocatorias/espacio-amazonas-artistas-visuales,España,"July 15, 2025","Residencias Artísticas, oportunidad para artistas, residencia para artistas",No,Datarte,,,https://www.mataderomadrid.org/convocatorias/residencias-trimestrales-para-artistas-visuales-2025,Residencia,Visuales
Residencias Jiser 2024-2025,"Residencia ""Jiser Visuales"" en Múltiples países",,https://www.arteinformado.com/agenda/f/residencias-jiser-2024-2025-231208,Múltiples países,"July 15, 2025","Residencias, oportunidad para artistas, programa de residencia",Yes,Residencias Jiser,,,https://jiser.org/,Residencias,"Visuales, Curaduría"
"Residencia en Madrid: ""Creadora Migrante""","Residencia ""Creadora Migrante"" en España",,https://app.datarte.art/convocatorias/espacio-amazonas-creadora-migrante,España,"July 15, 2025",residencia para artistas,Yes,Datarte,,,,Residencia,Multidisciplinar
Art Center in Dover: Contemporary Sculpture Exhibi...,"Exhibición ""Escultura Contemporánea"" en Reino Unido",Revisar,https://www.theartcenterdover.com/,Reino Unido,"July 6, 2025",Premio Internacional AI,Yes,Arte Center,,,https://www.theartcenterdover.com/exhibitions.php,Convocatoria,"Visuales, Multimedia"
"Open Call: ""Resonance of Self"" by LoosenArt","Convocatoria ""Resonance of Self"" en",Revisar,https://www.loosenart.com/pages/calls,,"July 5, 2025",,No,LoosenArt,,,,Convocatoria,
Convocatoria abierta para los International Photography Awards IPA 2025,"Convocatoria ""International Photography Awards IPA"" en Múltiples Países",,https://www.recursosculturales.com/international-photography-awards/,Múltiples Países,"July 1, 2025","Arte contemporáneo, International Photography Awards, Premio Internacional de Fotografía",Yes,International Photography Awards,,,https://www.photoawards.com/,Premios,Fotografía
The 2025 Almenara Art Prize,"Premio ""Almenara Art"" en España",Revisar,https://www.thealmenaracollection.com/page/40618/the-2025-almenara-art-prize,España,"June 30, 2025",,No,Almenara Collection,,,,Premio,Visuales
The Almenara Art Prize,"Convocatoria ""Almenara Art Prize"" en Virtual",,https://www.arteinformado.com/agenda/f/the-almenara-art-prize-234976,Virtual,"June 29, 2025","Premio Internacional de Fotografía, premio de arte, premio internacional",Yes,Almenara Art Prize,,,https://www.callforentries.com/the-2024-almenara-art-prize.html,Premios,Visuales
"""Abstract"" Online Exhibition by Part Crowd Art Gal...","Convocatoria ""Abstract Online Exhibition"" en el mundo",Revisar,https://www.partcrowd.com/opencalls,,"June 28, 2025",,No,Part Crowd Art Gallery,,,https://www.partcrowd.com/opencalls,Convocatoria,
29th Annual No Dead Artists International Exhibiti...,"Convocatoria ""No Dead Artists International Exhibition"" en EEUU",,https://www.ferrarashowman.com/call-for-artists,EEUU,"June 17, 2025",oportunidad para artistas,Yes,Ferrara Showman,,,https://www.artworkarchive.com/call-for-entry/29th-annual-no-dead-artists-international-exhibition-2025,Convocatoria,"Visuales, Video"
"Metamorphosis, Arquetopia Summer Program-Academic Residency","Residencia ""Metamorphosis: Arquetopia Summer 2025"" en Múltiples países",,https://www.recursosculturales.com/metamorphosis-arquetopia-summer-program-academic-residency/,Múltiples países,"June 14, 2025",Becas de residencia,Yes,Arquetopia,,,https://www.arquetopia.org/arquetopiasummer-2025,Residencias,"Artes visuales, Cultura"
"Open Call: ""Northernness"" by LoosenArt","Convocatoria ""Northernness"" en No",Revisar,https://www.loosenart.com/pages/calls,,"June 2, 2025",,No,LoosenArt,,,,Convocatoria,
Premio a la Ilustración Latinoamericana 2025 “Ecos Latinos”,"Premio ""Ecos Latinos"" en Argentina",Destacar,https://www.recursosculturales.com/premio-ilustracion-latinoamericana/,Argentina,"June 2, 2025",Ilustradores,Yes,Ilustración Latinoamericana,,,'https://www.recursosculturales.com/premio-ilustracion-latinoamericana/',Premios,"Ilustración, Diseño"
XVI Premio Atlante de Grabado,"Premio ""Atlante de Grabado"" en España",Revisar,https://www.fundartes.gal/premio-atlante/,,"June 1, 2025",,No,Atlante,,,,Premio,
,Visuales,,,,"June 1, 2025","Artistas, SFER IK Museion",No,,,,,Oportunidades,Visuales
The 8th Annual PROUD+ Exhibition by The Studio Doo...,"Exposición ""PROUD+ Exhibition"" en EEUU",,https://thestudiodoor.com/exhibitions/proud25,EEUU,"June 1, 2025","Arte contemporáneo, convocatoria",Yes,The Studio Door,,,https://thestudiodoor.com/exhibitions/proud25,Convocatoria,"Pintura, Fotografía, Artes visuales"
CEWE Photo Award: Our world is beautiful,"Convocatoria ""CEWE Photo Award"" en España",,https://contest.cewe.es/cewephotoaward-2025/es_es,,"June 1, 2025",,No,CEWE Photo Award,,,https://contest.cewe.co.uk/cewephotoaward-2025/en_gb/,Premio,
Open Call: FlussLab Transdisciplinary Residency,"Residencia ""FlussLab Transdisciplinary"" en",Revisar,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLScp038jbx6BSK_fv5kpITU8fycnfipYnTJoOyHKEmX8LuN8dg%2Fviewform&followup=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLScp038jbx6BSK_fv5kpITU8fycnfipYnTJoOyHKEmX8LuN8dg%2Fviewform&ifkv=ASSHykq0Ik-2meAur7_P7u-mymjPp5NGk3g_rHLuoSAg4IxbSBl_S1oWMnxVyG9XBBrUEDi9B92bpA&ltmpl=forms&osid=1&passive=1209600&service=wise&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1864245089%3A1739064384985222,,"May 31, 2025",,No,FlussLab,,,,Convocatoria,
Residencia Creativa Diáspora Migrante,"Residencia ""Diáspora Migrante"" en Colombia",Revisar,https://app.datarte.art/convocatorias/residencia-creativa-migracion-colombia,,"May 30, 2025",,No,Datarte,,,https://www.centrodeartistas.org/convocatorias/residencia-creativa-diáspora-migrante,Residencia,
Residencia STEAM,"Residencia ""Datarte STEAM"" en Alemania",Revisar,https://app.datarte.art/convocatorias/residence-art-steam-berlin-germany,,"May 30, 2025",,No,Datarte,,,https://app.datarte.art/convocatorias/residence-art-steam-berlin-germany,Residencia,
Concurso de Composición ANBA-FNA 2025,"Convocatoria ""Concurso de Composición ANBA-FNA"" en Argentina",,https://www.recursosculturales.com/concurso-de-composicion-anba-fna/,Argentina,"May 30, 2025","ANBA-FNA, Composición Musical, Concurso de Composición",Yes,Composición,,,"No relevant original source was found for the ""Concurso de Composición ANBA-FNA 2025"" opportunity. The original URL provided, https://www.recursosculturales.com/concurso-de-composicion-anba-fna/, appears to be a third-party aggregator.

Therefore, the original URL remains as the best option:

https://www.recursosculturales.com/concurso-de-composicion-anba-fna/",Convocatorias,Música
CEWE Photo Award 2024,"Convocatoria ""CEWE Photo Award"" en España",,https://www.arteinformado.com/agenda/f/cewe-photo-award-2024-230706,España,"May 30, 2025","Arte, Concurso, Premio Internacional de Fotografía",Yes,CEWE,,,https://www.cewe-group.com/en/press/press-releases/detail/cewe-photo-award-2025.html,Premios,"Fotografía, Arte visual, Fotografía documental"
XI Premio Internacional de Fotografía Jalón Ángel,"Convocatoria ""Premio Internacional de Fotografía Jalón Ángel"" en el mundo",Revisar,https://app.datarte.art/convocatorias/premio-jalon-angel-fotografia-2025,,"May 19, 2025",,No,Datarte,,,https://youthexpat.com/2025/01/15/open-call-xi-jalon-angel-international-photography-prize/,Premio,
III Concurso Internacional de Escultura ICRE: Tran...,"Concurso ""ICRE Transformación"" en el mundo",,https://icre.cat/es/iii_concurs-transformacio/,,"May 19, 2025",,No,ICRE,,,https://icre.cat/es/iii_concurs-transformacio/,Premio,
MonoVisions Photography Awards 2025,"Convocatoria ""MonoVisions Photography Awards"" en el mundo",,https://monovisionsawards.com/,,"May 19, 2025",,No,MonoVisions,,,https://monovisionsawards.com/,Premio,
Becas de nuevo acceso al Grado de Diseño 2025-2026,"Beca ""Diseño 2025-2026"" en España",Revisar,https://www.arteinformado.com/agenda/f/becas-de-nuevo-acceso-al-grado-de-diseno-2025-2026-235502,,"May 18, 2025",,No,Becas de nuevo acceso al Grado de Diseño,,,,Becas,
III Concurso Internacional de Escultura ICRE: Transformación,"Convocatoria ""ICRE: Transformación"" en España",,https://www.arteinformado.com/agenda/f/iii-concurso-internacional-de-escultura-icre-transformacion-233512,España,"May 17, 2025","Concurso Internacional de Escultura, ICRE, Transformación",Yes,ICRE,,,https://icre.cat/es/iii_concurs-transformacio/,Convocatorias,"No se puede acceder directamente al contenido de la URL proporcionada desde aquí, pero basándose en la naturaleza de concursos y oportunidades relacionadas con las artes, aquí hay una respuesta genérica que podría aplicarse comúnmente a este tipo de oportunidades:

Artes visuales, Escultura, Fotografía"
XXXII Becas Fundación Botín de Artes Plásticas 2025/2026,"Beca ""Fundación Botín Artes Plásticas"" en España",Revisar,https://www.arteinformado.com/agenda/f/xxxii-becas-fundacion-botin-de-artes-plasticas-2025-2026-235495,,"May 9, 2025",,No,Fundación Botín,,,,Becas,
VI Concurso Solidario de Pintura sobre Derechos Hu...,"Convocatoria ""Concurso Solidario de Pintura sobre Derechos Humanos"" en España",Revisar,https://sanchezbutron.com/6-concurso-solidario-pintura/,,"May 3, 2025",,No,Sánchez Butrón,,,,Convocatoria,
VI Concurso Solidario de Pintura sobre Derechos Humanos - Sánchez Butrón Abogados,"Convocatoria ""Concurso Solidario Pintura Derechos Humanos"" en España",Revisar,https://www.arteinformado.com/agenda/f/vi-concurso-solidario-de-pintura-sobre-derechos-humanos-sanchez-butron-abogados-235536,,"May 2, 2025",,No,Sánchez Butrón Abogados,,,,Premios,
Convocatoria abierta Lab-Artium 2025,"Convocatoria ""Lab-Artium 2025"" en el mundo",Revisar,https://www.abartium.com/LabArtium/,,"May 2, 2025",,No,Lab-Artium,,,"No relevant original source was found for the opportunity ""Convocatoria abierta Lab-Artium 2025"" at the provided URL. The original URL remains the best option for further investigation.

- **Original URL:** https://www.abartium.com/LabArtium/",Convocatoria,
Las Laguna Art Gallery: Politics and Art,"Convocatoria ""Las Laguna Art Gallery"" en todo el mundo",,https://www.laslagunaartgallery.com/politics,,"May 1, 2025",,No,Disciplina,,,https://www.laslagunaartgallery.com/,Convocatoria,
Open Call: Rituals at LoosenArt,"Convocatoria ""Obtener Disciplina"" en el mundo",,https://www.loosenart.com/pages/calls,,"April 30, 2025",,No,LoosenArt,,,https://www.loosenart.com/pages/calls,Convocatoria,
“Memories From The House” Online Exhibition by Par...,"Convocatoria ""Memories From The House"" en el mundo",Revisar,https://www.partcrowd.com/opencalls,,"April 29, 2025",,No,Partcrowd,,,https://www.partcrowd.com/opencalls,Convocatoria,
LUX Annual Exhibitions Open Call 25/26,"Convocatoria ""LUX Annual Exhibitions"" en EEUU",,https://airtable.com/appmAV4WgwSlXkaoW/pagI7T2ESrdCSiJND/form,EEUU,"April 29, 2025","Convocatoria LUX, LUX Annual Exhibitions, LUX Exhibitions Open Call",Yes,LUX,,,https://www.luxcenter.org/artist-application,Convocatoria,"Cerámica, pintura, grabado"
LXII Concurso Internacional de Dibujo 2025,LXII Concurso Dibujo 2025,Revisar,https://www.arteinformado.com/agenda/f/lxii-concurso-internacional-de-dibujo-2025-235239,,"April 28, 2025",,No,Concurso Internacional de Dibujo,,,https://www.arteinformado.com/agenda/f/lxii-concurso-internacional-de-dibujo-2025-235239,Convocatorias,
"""Luis Ferreira Alves"" International Photography Co...","Convocatoria ""Luis Ferreira Alves Photo Award"" en",Revisar,https://site.picter.com/luis-ferreira-alves-photoaward-2025,,"April 26, 2025",,No,Luis Ferreira Alves Photo Award,,,,Premio,
XIX Becas Fundación Botín en Comisariado de Exposi...,"Beca ""Comisariado de Exposiciones"" en España",Revisar,https://fundacionbotin.org/becas-convocatorias/becas-de-comisariado-de-exposiciones-y-gestion-de-museos-2024/,,"April 26, 2025",,No,Fundación Botín,,,,Beca,
"Europa Creativa: Innovation Lab 2025 ","Convocatoria ""Europa Creativa: Innovation Lab"" en Múltiples Países",,https://europacriativa.eu/noticias/detalhe/2077-call-creative-innovation-lab-2025-aberta,Múltiples Países,"April 24, 2025","Innovación, oportunidad para artistas, programa de residencia",No,Creative Innovation Lab,,,https://www.newslettereuropean.eu/creative-innovation-lab/,Oportunidades,
Concurs Internacional i online d'art Primavera 202...,"Convocatoria ""Concurs Internacional i online d'art Primavera"" en el mundo",Revisar,https://ars-hub.org/concurs-online-dart/,,"April 23, 2025",,No,Ars Hub,,,"No relevant URL was found to verify the originality of the source for the arts-related opportunity ""Concurs Internacional i online d'art Primavera 202..."". The original URL provided is:

- https://ars-hub.org/concurs-online-dart/",Convocatoria,
Concurso Online de Arte,Concurso Online de Arte,,https://www.arteinformado.com/agenda/f/concurso-online-de-arte-235051,,"April 22, 2025",,No,Concurso Online de Arte,,,"No better option is found. The original URL provided is:
https://www.arteinformado.com/agenda/f/concurso-online-de-arte-235051",Convocatorias,
Lab-Artium 2025 - Performace - Happening - Instalación - Video Instalación,"Convocatoria ""Lab-Artium Performance"" en España",,https://app.datarte.art/convocatorias/lab-artium-2025,España,"April 22, 2025",convocatoria,Yes,Datarte,,,"No relevant original source was found to verify the authenticity of the opportunity ""Lab-Artium 2025 - Performance - Happening - Installation - Video Installation"" from the URL https://app.datarte.art/convocatorias/lab-artium-2025.

Therefore, the original URL provided remains the best option for verification:
https://app.datarte.art/convocatorias/lab-artium-2025",Convocatoria,"Performance, happening, instalación"
Open Call May 2025: “Echoes of the Earth: Environm...,"Convocatoria ""Echoes of the Earth"" en el mundo",Revisar,https://bushwickgallery.com/open-call-may-2025-first-echoes-of-the-earth-environmental-art/,,"April 18, 2025",,No,Bushwick Gallery,,,https://bushwickgallery.com/open-call-may-2025-first-echoes-of-the-earth-environmental-art/,Convocatoria,
Convocatoria Galería La Sindicalista: Premio Adqui...,"Convocatoria ""Premio Adqui..."" en España",Revisar,https://www.lasindicalistaestudio.com/euterpe,,"April 16, 2025",,No,Euterpe,,,,Premio,
Portrait Awards 2025 by Dodho Magazine,"Convocatoria ""Portrait Awards"" en",Revisar,https://www.dodho.com/portrait-awards/,,"April 16, 2025",,No,Portrait Awards,,,,Premio,
International FiKVA Award for painters 2025,"Convocatoria ""International FiKVA Award Painters"" en todo el mundo",Revisar,https://fikva.art/open-call/,,"April 16, 2025",,No,FiKVA,,,https://fikva.art/open-call/,Premio,
Open Call: Pop Explosion 2025,"Convocatoria ""Pop Explosion 2025"" en todo el mundo",Revisar,https://iconlabgallery.com/open-call-pop-explosion-2025/,,"April 16, 2025",,No,Icon Lab Gallery,,,"No better option is found, so the original URL provided is:
- https://iconlabgallery.com/open-call-pop-explosion-2025/",Convocatoria,
"The Prix de la Photographie, Paris (PX3)","Convocatoria ""Prix de la Photographie"" en Francia",,https://px3.fr/prize/,Francia,"April 16, 2025","Arte, Premio Internacional de Fotografía, premio internacional",Yes,Prix de la Photographie,,,https://px3.fr/prize/,Premio,"Fotografía, Diseño, Arquitectura"
Premio Adquisición de obra Exposición Euterpe,Premio Euterpe,Revisar,https://www.arteinformado.com/agenda/f/premio-adquisicion-de-obra-exposicion-euterpe-235370,,"April 15, 2025",,No,Euterpe,,,'https://www.arteinformado.com/agenda/f/premio-adquisicion-de-obra-exposicion-euterpe-235370',Premios,
Portrait Awards 2025,Portrait Awards,Revisar,https://www.arteinformado.com/agenda/f/portrait-awards-2025-235294,,"April 15, 2025",,No,Herbert Smith Freehills,,,https://www.contestwatchers.com/herbert-smith-freehills-portrait-award-2025/,Premios,
XV Premi Setba 2025,XV Premi Setba,,https://fundaciosetba.org/es/inscripcion-premio-setba-2025/,,"April 11, 2025",,No,Setba,,,https://fundaciosetba.org/es/inscripcion-premio-setba-2025/,Premios,
"Call for Entry: ""Trees"" International Juried Photo...","Convocatoria ""Trees International Juried Photo Contest"" en todo el mundo",Revisar,https://www.nyc4pa.com/trees,,"April 7, 2025",,No,New York Center for Photographic Art,,,https://www.nyc4pa.com/trees,Convocatoria,
CAAT: I Salón Textil Gran Formato,"Convocatoria ""I Salón Textil Gran Formato"" en Argentina",Revisar,https://caat.org.ar/convocatorias/i-salon-textil-gran-formato/,,"April 5, 2025",,No,CAAT,,,,Convocatoria,
"Open Call: ""Baring It All"" by Art Fluent","Convocatoria ""Baring It All"" en el mundo",Revisar,https://art-fluent.com/calls-for-art/baring-it-all-prospectus/,,"April 5, 2025",,No,Art Fluent,,,https://art-fluent.com/calls-for-art/baring-it-all-prospectus/,Convocatoria,
Beyond Color: The Language of Black and White,"Convocatoria ""Beyond Color: The Language of Black and White"" en EEUU",,https://www.bedfordgallery.org/programs/artist-opportunities/call-for-entry?mc_cid=8392bb4c1e&mc_eid=8d2dae1a04,EEUU,"April 5, 2025","Convocatorias de Arte, Lenguaje B&N, oportunidades para artistas",Yes,Bedford Gallery,,,https://www.bedfordgallery.org/programs/artist-opportunities/call-for-entry,Convocatoria,"Artes visuales, fotografía, grabado"
Convocatoria de Arte Plástica de Pequeño Formato 2...,,Revisar,https://lasalita.org/convocatoria-de-arte-plastica-de-pequeno-formato-en-gijon,,"April 4, 2025",,No,La Salita,,,,Convocatoria,
"Call for Entry: ""Beyond Color"" The Language of Bla...","Convocatoria ""The Language of Black and White"" en el mundo",Revisar,https://www.bedfordgallery.org/programs/artist-opportunities/call-for-entry?mc_cid=8392bb4c1e&mc_eid=8d2dae1a04,,"April 4, 2025",,No,Bedford Gallery,,,https://www.bedfordgallery.org/programs/artist-opportunities/call-for-entry,Convocatoria,
Colors 2025 Art Competition by Fusion Art,"Convocatoria ""Colors 2025 Art Competition"" en Latinoamérica",,https://www.fusionartps.com/colors-2025-art-competition/,,"April 2, 2025",,No,Fusion Art,,,https://www.fusionartps.com/calls-for-artists/,Convocatoria,
TEXTILFEST: Transformations - Exposición Internaci...,"Convocatoria ""Transformations Exposición Internacional"" en todo el mundo",,https://creaciontextil.org/evento/,,"April 2, 2025",,No,Creación Textil,,,https://www.creadorestextiles.org/evento/convocatoria-abierta-exposicion-internacional-transformations/,Convocatoria,
Open Call: Edición 7° NILO Expone 2025,"Convocatoria ""Obtener Disciplina"" en NILO",Revisar,https://acortar.link/ZF64ph,,"April 1, 2025",,No,NILO,,,,Convocatoria,
The Democracy Cycle: Commissioning Programme for Performing Arts Works 2024,"Convocatoria ""Democracy Cycle: Performing Arts Works"" en",Revisar,https://on-the-move.org/news/democracy-cycle-commissioning-programme-performing-arts-works-2024-0,,"April 1, 2025",,No,On The Move,,,,Convocatoria,
"Open Call: ""Chiaroscuro: The Art of Light and Shad...","Convocatoria ""Chiaroscuro: The Art of Light and Shadow"" en",Revisar,https://www.decagongallery.com/chiaroscuro-the-art-of-light-and-shadow-entry,,"April 1, 2025",,No,Decagon Gallery,,,,Convocatoria,
The D Contemporary Open Call and Award,"Convocatoria ""Obtener Disciplina"" en",Revisar,https://acortar.link/bFGIT4,,"April 1, 2025",,No,D Contemporary,,,,Convocatoria,
"PARL, Performance Art Research Ljubljana 22-31 Aug...","Convocatoria ""PARL"" en Eslovenia",Revisar,https://parl.si/application/,,"April 1, 2025",,No,PARL,,,,Convocatoria,
45th Annual Summerfest Fine Art & Music Festival,"Festival ""Summerfest Fine Art & Music"" en el mundo",,https://www.zapplication.org/event-info.php?ID=12839,,"April 1, 2025","Convocatoria Festival de Arte, Festival de Arte y Música, Festival de Verano",No,Zapplication,,,https://evergreenarts.org/summerfest-2025/,Convocatoria,
Open Call: Jonathan Ruffer Curatorial Grants,"Beca ""Jonathan Ruffer Curatorial Grants"" en Reino Unido",,https://www.artfund.org/professional/get-funding/programmes/jonathan-ruffer-curatorial-grants,Reino Unido,"April 1, 2025",Becas de Intercambio,Yes,Art Fund,,,https://www.artfund.org/professional/get-funding/programmes/jonathan-ruffer-curatorial-grants,Convocatoria,Curaduría
14th Edition Magmart Festival Competition,"Festival ""Magmart"" en Italia",,https://www.magmart.it/rules.php,Italia,"April 1, 2025","Concurso, Festival de Arte Digital, premio internacional",Yes,Magmart,,,https://www.magmart.it/fullnews.php?i=11990&f=n,Convocatoria,Video
circusnext: Open Call for Circus Projects 2026,"Convocatoria ""circusnext Circus Projects"" en",Revisar,https://on-the-move.org/news/circusnext-open-call-circus-projects-2026,,"March 31, 2025",,No,On The Move,,,,Convocatoria,
Inmersiva - Residencia de arte textil,,Revisar,https://app.datarte.art/convocatorias/plataformaliminal,,"March 31, 2025",,No,Datarte,,,,Residencia,
"European Investment Bank Institute: Artists Development Programme 2025 (France, Luxembourg)","Beca ""Artists Development Programme"" en Francia, Luxemburgo",Revisar,https://on-the-move.org/news/european-investment-bank-institute-artists-development-programme-2025-france-luxembourg,,"March 31, 2025",,No,European Investment Bank,,,,Oportunidad,
Call for Submissions: Fall 2025 - Spring 2026 Solo...,"Convocatoria ""Obtener Disciplina"" en todo el mundo",,https://www.depts.ttu.edu/art/exhibits/landmark-arts/SRO_Photo_Gallery/SRO-call-for-submissions.php,,"March 31, 2025",,No,Landmark Arts,,,https://www.depts.ttu.edu/art/exhibits/landmark-arts/SRO_Photo_Gallery/SRO-call-for-submissions.php,Convocatoria,
"Open Call ""Amazónica: Residencia en Perú""","Residencia ""Amazónica"" en Perú",,https://correlacioncontemporanea.com/residencias/amazonica/,Perú,"March 31, 2025","Open Call Amazónica, programa de residencia, residencia de artistas",Yes,Correlación Contemporánea,,,"No relevant original source URL was found to confirm the authenticity of the ""Open Call 'Amazónica: Residencia en Perú'"" opportunity. The provided URL, https://correlacioncontemporanea.com/residencias/amazonica/, appears to be a third-party aggregator and not an original source.

Therefore, the original URL remains:
- https://correlacioncontemporanea.com/residencias/amazonica/",Convocatoria,"Ecología, Investigación"
5th Vincent van Gogh Photo Award 2025,"Convocatoria ""5th Vincent van Gogh Photo Award"" en todo el mundo",,https://vincentvangoghphotoaward.com/over-vincent-photo-awards-2/,,"March 31, 2025",,No,Vincent van Gogh Photo Award,,,https://www.vincentvangoghphotoaward.com/,Premio,
Certamen de Canciones de la UNED basadas en poemas de la literatura en español,"Convocatoria ""Certamen Canciones UNED"" en España",,https://www.recursosculturales.com/certamen-de-canciones-uned/,España,"March 31, 2025","Certamen de Canciones, Literatura en Español, UNED",Yes,UNED,,,https://www.injuve.es/convocatorias/premios/vi-certamen-de-canciones-de-la-uned,Premios,"Música, Poesía, Literatura"
Convocatoria de cortometrajes para La Guarimba International Film Festival,"Convocatoria ""La Guarimba International Film Festival"" en Italia",,https://www.recursosculturales.com/la-guarimba-film-festival/,Italia,"March 31, 2025",Festival de Cine,Yes,Guarimba Film Festival,,,https://www.laguarimba.com/,Convocatorias,"Cine, ilustración, música"
